FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
tun,"やり付ける, 物する, なさる, 成す, やらかす, 致します, 聞((こ)し)召す, 致す, 使う, する, 行(な)う, なせる, やる, なす, でかす, 行動する, つかまつる, 申(し)上げる, …やんす, なされる, 行ずる, される, さらす",,de-DE,ja-JP
nie,"構えて, 金輪際, 金輪際, 決して…ない, 決して, ゆめゆめ, けして, 金輪奈落, 金輪奈落",,de-DE,ja-JP
Stelle,"スポット, 場, 場面, サイト, 立場, 境, 奉公口, 部署, プレース, デジット, 当(た)り, 職, 格, 局部, 場裏, ロケーション, 雇(い)口, 位置, 所, 位, 席, 位取り, 傷, 章句, 境, 地点, 箇所, 場所, 奉職口, 園, プレイス, 桁, 勤め口, とこ, 地位, くだり, 局所, 椅子, 節, ローカス, 位数",,de-DE,ja-JP
Alter,"年端, 高年者, 老け, 旧, 旧, 風霜, 芳紀, 老, 老, 老, 老, 老朽, 年齢, よわい, じい, 老い, 先生, 老いらく, 故人, 流年, 高齢者, じじい, 春秋, 隠居, 期, 行く年, 古さ, 生年, ロートル, 年かさ, 年, シルバー･エイジ, シルバー･エイジ, 年頃, 星霜, 上長, 年よわい, 雪眉, とっつぁん, 老そう, 年算, 年算, シルバー･エージ, シルバー･エージ, 齢歯, エルダー",,de-DE,ja-JP
erklärt,表示された,,de-DE,ja-JP
Freitag,"金曜日, 金, 金曜, フライデー, フライデー",,de-DE,ja-JP
bekommen,"有り付く, 捕(ら)える, 接する, ゲットする, 領収する, 握る, 浴する, 食う, 食う, 興す, 被る, 採れる, 受信する, 領する, 借りる, 享受する, あずかる, 拝受する, 食(ら)う, 取る, もらう, 出来る, はむ, 受ける, 受ける, 授かる, 受(け)取る, 得る, 頂く, 得る, 入手する, せしめる, 勝(ち)得る, ちょうだいする, もらい受ける",,de-DE,ja-JP
kaum,"いささか, 有るか無し, とても…ない, 余り無い, おさおさ, 中々, 力無く, ろくすっぽう, ほとんど, ほとんど, 僅々, 毛, 危(な)い, 幾ら, ろくすっぽ, 滅多に, 一合, 一合, 辛うじて, 危なし",,de-DE,ja-JP
weit,"洋々たる, びょう然たる, びょう然, 遠い, 幅広い, 大…, ずるずる, ずるずる, ワイド, ワイド, 遠方の, 広く, 広々, もっとずっと, 洋々, 広々した, びょうぼうたる, 幅の広い, 手広い, ぶかぶかの, 漠々, 洋々とした, 緩(や)かな, だぶだぶの, 広, 千度, 千度, とうとう, 遠くに, 広い, こうびょう, 緩(や)か, 縹渺たる, たぶたぶ, 央, 開かつ, 渺茫とした, 広大な, ぽっかり, こうびょうたる, びょうぼう, だぶだぶ, ゆるゆると, こうかつ, ゆるゆる, ぞろっと, ぞろりと, 広かつな",,de-DE,ja-JP
Angebot,"オファー, 申しいで, 売(り)呼(び)値, 申(し)入(れ), 申(し)出, 提供, 見積(も)り, 供給, 申(し)込み, 入(れ)札, 言(い)入(れ), 入札, プロポーザル, 供給量",,de-DE,ja-JP
Hochschule,"大学, 学院",,de-DE,ja-JP
Stunden,"レッスン, …時間",,de-DE,ja-JP
m,"M, M, M",,de-DE,ja-JP
zuvor,"あらかじめ, 前々, 既に, これより先, 前, 前, 前広, ビフォー, ビフォア",,de-DE,ja-JP
Sommer,"夏, 炎節, 夏季, 太陽の季節, 朱夏, 夏場, サマー, 朱炎, 夏期, 暑月, 夏時, 朱明, 炎陽, サンマー",,de-DE,ja-JP
Deutsche,"ドイツ人, ドイツ女, ドイツ人女性",,de-DE,ja-JP
Sachsen,"サクソン, ザクセン, サクソニー, サクソニア",,de-DE,ja-JP
Raum,"紙面, 場, 房, 間, 間, スペース, 地理, 場席, 置(き)場所, 間, 置(き)所, 余地, 余地, {部屋}, 所, 席, ルーム, 場所, 室, 地域, 空, 空, 空間, チャンバー",,de-DE,ja-JP
4,"フォア, 四, フォアー, 四, 四, 四, あんどん, フォーア",,de-DE,ja-JP
Sonntag,"日曜, サンデー, 安息日, ドンタク, 安息日, 安息日, 日曜日, 聖日, ドミンゴ, 主日, 日, ドミニカ",,de-DE,ja-JP
einigen,"一統する, 収束する",,de-DE,ja-JP
eher,"あらかじめ, まだしも, いっそ, むしろ, かえって, 結句, 結句, いっそのこと",,de-DE,ja-JP
Zahl,"数, 数, デジット, 員数, 数, 員数, 員数, 数字, 多寡, ナンバー",,de-DE,ja-JP
Sein,"存在, ザイン, 有",,de-DE,ja-JP
hinter,"裏手の, 後方に, 背後の, 後, 後に, 裏手に, 後ろに, 後ろの, 後尾の, 裏に, 後方の",,de-DE,ja-JP
sicher,"危な気無い, いよいよ, 無難な, 必ずや, 構えて, 疑いのない, 是非共, 無難の, 定めて, しかと, 定か, 揺るぎなく, 堅固に, 堅実な, 心強い, 大丈夫な, 明らかに, 安…, 手丈夫, 確実な, 絶対, 絶対, 強固な, 万々, 安定した, 正しく, 発止, 万々, 万々, 確たる, はっきりと, 堅実に, 十全の, 力強い, シュア, 確(か), 確実に, 明らか, 確かに, 安泰な, つつがない, 大丈夫, 必(ず), 明らかな, 発止と, はい, 無事な, 別条なく, はっきり, 正, 確かな, 安固な, 当てになる, 安全な, 相違無い, 定めし, 違いない, 安定感のある, つつがなく, 請け合って, 堅い, 間違いなく, 着々と, 無事に, 危な気のない, 落ち着きのある, 確然, 揺(る)ぎ無い, 気強い, あいまいでない, てっきり, 〈如何〉にも, 相違無く, しっかと, 安心な",,de-DE,ja-JP
leicht,"ころっと, 軽やかな, 楽々, 淡々たる, ちらりと, 易々たる, 〈他愛〉, 易しい, ほんのり, 骨を折らずに, ころりと, レジェロ, 甘っちょろい, ちょろり, 楽に, 身軽に, 重みのない, 軽度の, ちょろっと, 〈他愛〉無い, 軽めの, 本の, ライト, 淡い, ふわふわと, 容易な, ちょっこり, 楽な, 淡々, 訳のない, さっくり, イージー, たわいなく, もろく, 平易の, 訳も無い, あっさりした, なだらかに, ふと, たやすく, 平易な, 軽やかに, 脆くも, ぱらり, 身軽な, ちらりほらり, 〈他愛〉もない, 軽妙に, ひとたまりも無い, ふわふわの, 〈一寸〉, たわいもなく, 軽妙洒脱な, やすい, 軽々と, 易しく, ふわふわ, 容易に, 軽便な, あっさりと, 軽い, 軽い, 軽い, 軽い, 軽易, うっすらと, 砕けた, すぐ, ころり, 訳なく, さらり, 軽快な, 軽く, 苦もなく, わっさり, わっさり, イージ, そーっと, 薄ら…, 楽々と, 軽々, お安い, 手軽な, 淡泊な, すぐに, うっすり, ふわふわした, 簡単な, うっすら, 易々, 甘ちょろい, レジェーロ, 難無く, うっすりと, 薄手の, 〈他愛〉の無い, ちょろい, 軽量の, ちっと, 薄い, 軽度に, 軽微な, ともすれば, あっさり, あっさり, ぱらりと, ぽっかり, ちょこっと, ちょいと, ちょいと, 訳は無い, 浅い, 生易しい, ちらほら, 訳無い, そっと, たやすい, 軽目, 易し, 楽ちん, ちょっくら, そうっと, 他愛無い, ちゃらい",,de-DE,ja-JP
Bayern,"バイエルン州, ババリア, バイエルン, ババリヤ, バヴァリア",,de-DE,ja-JP
Vater,"お父っさん, ファーザー, 親父, てて親, てて, ててご, お父っつぁん, 父上, 父, お父様, 父御, {父さん}, 父親, お{父さん}, 厳親, 男親, とと, ちゃん, ダディー, おとん, とっつぁん, 親粒, 花粉親",,de-DE,ja-JP
Du,"尊公, お主, けい, けい, 妻, 妻, うぬ, 雅兄, 善男子",,de-DE,ja-JP
bringen,"掲載する, 搬送する, 持参する, もたらす, 見送る, 運ぶ",,de-DE,ja-JP
Musik,"楽, 糸竹, 音楽, ミュージック, 鳴(り)物, 声音, 鳴(り)物入(り), 曲, 糸管",,de-DE,ja-JP
Ukraine,"ウクライナ, ウ",,de-DE,ja-JP
erreichen,"行(き)届く, 有り付く, 差(し)掛(か)る, 達する, 到達する, 届く, 届く, こぎ着ける, 行(き)届く, 成す, 遂げる, 達成する, 致す, 着く, 及ぶ, 及ぶ, 掛(か)る, 上げる, 上げる, 成る, 果(た)す, やり通す, 手が届く, でかす, 追(い)付く, 至る, 達す, 流れ着く, 仕遂げる, 勝(ち)得る, リーチする",,de-DE,ja-JP
Bildung,"素養, 修養, 教育, 陶冶, 結成, たしなみ, エデュケーション, 教養, 産声, 仕立(て), 構成, 生成, 有識, 芸能, 形成, 文教, 編成, 学",,de-DE,ja-JP
Lage,"始末, 境遇, 態様, 様子, 場所柄, 境地, シチュエーション, 層, 立場, 境, 状態, 業, 身の上, 況, 位地, 動静, プレース, フェイズ, 情勢, 体たらく, {日和}, 有(り)様, 〈如何〉, 〈如何〉, 事情, 境界, フェーズ, 形勢, ラーゲ, 時勢, ロケーション, 位置, 位置の査定, 概, 向背, 様, 加減, 加減, 局, 事局, 雲行(き), 有(り)様, 模様, プレイス, プライ, 塩梅, 実際, 実際, 向(き), あんばい, 立地, 時局, 状, 旗色, 局面, が位, ティア, 折(り)丁, ローカス, ライ, シチュ",,de-DE,ja-JP
Mitglied,"同人, 構成員, 共同者, 成員, 加盟者, メンバー, 部員, 加入者, 同人, メンバ",,de-DE,ja-JP
häufig,"頻繁に, たびたびの, 再々, 〈数多〉度, 度々, ごろごろ, ごろごろ, しばしば, ざら, 度々, 多い, 有り勝ちの, 頻々と, 往々, 往々にして, よく, ざらに, しげしげ, ちょこちょこ, 有り勝ちな, ちょいちょい, 数多い, ちょくちょく, しげく, 頻々, 頻繁な, 多き, 節々",,de-DE,ja-JP
sieben,"ふるう, セブン, 七, セヴン, 裏ごしにする, 七, ふるい分ける, ふるいに掛ける, ふるい分けをする",,de-DE,ja-JP
schwer,"難い, のそりのそり, つらく, 困難な, 重い, ごてごて, こってり, 濃厚な, 重々しい, 難しい, 重(っ)苦しい, きつい, しつっこい, ずしりと, しつこい, どっしり, 多大の, ずっしりした, くどい, 重たい, あくどい, 苦い, こてこて, 苦しい, のそのそ, 多大, のそのそした, つらい, 濃い, 歯応えのある, ずっしり, のそのそと, どっしりした, 脂っこい, 難しい, 手痛い, 手強い, ひどい, 濃厚に, ずしり, 世知辛い, ずしんと, 重大な, 量感のある, こってりした, どしんと, ヘヴィ, ヘビー, でんと, 重苦しい, ごってり, ひつこい, 重く, 重し, しどい, ヘヴィー",,de-DE,ja-JP
gehören,"該当する, …に帰属する",,de-DE,ja-JP
Erfolg,"アチーブメント, 成功裏, 出来映(え), 結果, 好結果, 得意, 得意, ヒット作, 実績, 実績, 当(た)り, 勝利, 功科, 月けい冠, 実効, 験, 出来具合, 奏功, サクセス, 成果, 成功, 月けいの冠, 功, 効果, 験, 繁盛, 盛況, 効力, 奏効, 効(き)目, 成績, かい, イフェクト, 出来, やりがい, 首尾, 功効",,de-DE,ja-JP
natürlich,"もっとも, 素直, 言うまでもない, 当然, 天然に, おっとりした, 無理のない, 朴とつな, あっさりした, 生得の, 自然の, 自然的, 生まれながらに, 生来の, 天性の, 素…, 天成の, 庶民的, 天然の, 天真爛漫な, 当たり前の, てらうことなく, 朴とつの, 自然な, 勢(い), 勢(い), 天賦の, 性来, 天授の, 本来, 生(ま)れながらの, 順当, 当然の, 自然生の, 〈流石〉, あどない, わっさり, 巧まずして, あたりき, 本然の, 本当の, 野生の, 持って生(ま)れた, 自然と, もちろん, 本来の, ナチュラルな, 当然に, おっとり, 本有の, 無論, 純朴な, 天与の, あっさり, 性来, 庶民的な, もとより, 言わずもがな, 生来, 性質上, 順当な, 質実な, 自然に, 言うまでもなく, 申すまでもなく, しかるべし, 言うに及ばず, 論なし, 生得的, 本有的, もちのろん, あたぼう, 何がさて",,de-DE,ja-JP
Regierung,"政権, 公, 施政, 統治, 官府, 治下, 政, 知行, 政府, お上, 上, 政道, 支配, 経略, 天下, 中央, 治, 治世, 統御, 内閣, 治政, み代, 統治, 政府側, 治定, 治定, 官, 政治, 台閣, アドミニストレーション, ガバメント",,de-DE,ja-JP
Programm,"プログラム, プログラム, アプリケーション･ソフトウエア, プロ, スケジュール, 手はず, ソフト･ウェア, アプリケーション, シリーズ, チャネル, ライン･ナップ, 演目, 趣意書, 手つがい, 番付, 予定表, アプリケーション･プログラム, 要綱, アプリ, 予定案, 筋書(き), 方針, 仕組(み), ソフト, ソフト, 次第, 番組, 献立, 演奏曲目, 方案, 出(し)物, 段取(り), 紀要, 順序書き, ライン･アップ, 予定, 綱領, ソフト･ウエア, 日割(り), 番組表",,de-DE,ja-JP
halten,"堪える, 生ける, 保つ, 持する, 握る, 演, 置く, 置く, 停, キープする, 支える, 保する, 行(な)う, 持つ, 持つ, 捧持する, 保たす, 果(た)す, 止(ま)る, 決める, 停車する, エンストする, 守る, 持たせる, 把持する, セーブする",,de-DE,ja-JP
Mutter,"ハハソの森, 雌〈螺子〉, ムッター, ははそ原, あっぱ, あっぱ, 垂乳根, マザー, 母者人, 女親, ママ, 母親, ハハソ, ナット, おかん, マミー, か文字, 種子親",,de-DE,ja-JP
acht,"八(つ), 八, 八, エイト, 八つ, 八, パー",,de-DE,ja-JP
Medien,報道機関,,de-DE,ja-JP
fest,"しゃっきり, 堅ろうな, 地道な, まじまじ, しかと, 鉄石の, 揺るぎなく, 堅固に, 締まった, 堅気の, 固定的, 堅実な, 決然, ろう固たる, 大丈夫な, 手丈夫, 定まった, 強固な, こんこん, ひしひし, 堅気な, じん性のある, 不動の, 確固たる, ばりばり, しゃっきりした, こりこり, 毅然とした, 確たる, 毅然たる, しっかり, 堅実に, 決然と, 堅固な, しっかりと, しっかりした, 決然とした, 不壊の, むずと, 確(か), ひしと, 締まりのある, 引き締まった, 手堅い, 決然たる, がっしり, 固体の, 大丈夫, みっちり, じん性の, 堅く, 確固として, タフな, こりこりした, きゅっと, かたくなに, 立体の, きつく, 毅然として, 安固な, ぎゅっと, きりりと, むんずと, 牢固として, 緊密な, ろうとして, みっしり, 堅い, 頑丈な, ぐっと, がっしりと, びっしり, ひしひしと, じっと, かちっ, タフ, ハード, ハード, がっちり, 揺(る)ぎ無い, 緊切, きゅうっと, 固定した, がっちりした, ぴったり, 強い, 勝(ち)気な, 固形の, ろう固, 変動のない, かちっと, びんびん, きしり, ぎりぎり, ソリッド, 据わった, ファーム, ぴったし",,de-DE,ja-JP
helfen,"力を貸す, 力になる, 世話する, 助かる, 力添えする, 救う, 役立てる, 人助けをする, 加担する, 誘掖する, 片肌脱ぐ, ゆう助する, 力を添える, リリーフする, 供える, 後援する, 救じゅつする, 支援する, 加勢する, 擁立する, {手伝う}, {手伝う}, 扶助する, 援助する, ほひつする, 足しになる, 奉賛する, 資する, 助けとなる, 手助けする, 補助する, 力こぶを入れる, 救援する, 差(し)伸べる, 進める, あっ旋する, 後押しする, 助力する, 介添えをする, 救済する, 救助する, 介添えする, 押(し)立てる, 援, 裨益する, 補佐する, 助{太刀}をする, 引き立て役になる, 助ける, 手助けをする, 手を貸す, 見次ぐ, 味方する, …に荷担する, 助{太刀}する, 与力する, すける",,de-DE,ja-JP
gerne,"進んで, 喜んで",,de-DE,ja-JP
Zusammenarbeit,"共助, 協同, 協力, 協調, コラボレーション, 協, 協働, コラボ, タイ･アップ, 提携, チームワーク, 連携, コンビ, 協調性, 合作, 共同, 握手, 足並(み), 共同制作, 共作, コラボレート",,de-DE,ja-JP
Samstag,"土, 土曜日, 土曜",,de-DE,ja-JP
Wirtschaft,"エコノミー, 経済, 農場, 理財",,de-DE,ja-JP
gleich,"対等の, 同じく, もうすぐ, 寸時に, お揃いの, 一様に, 同一の, 大至急に, たちまち, 平等の, 差別をせずに, 甲乙をつけないで, ただ今, ただ今, おんなじ, おんなじ, 線上, 同じに, そのうち, 隔てなく, 即刻, 同じ, 同じ, イコール, 同等の, 平等に, そのうちに, 速い, 同然, 無差別に, 平等な, すぐ, 甲乙のない, 一気に, 同等に, 同様の, 均等に, 同様, 今暫く, すぐに, 等しい, 間も無く, 無差別の, 早々に, 等しく, 互角の, 同等な, そろった, 直, 今に, あうさわに, 登時",,de-DE,ja-JP
ja,"ウイ, ええと, 左様, 左様, へ, 確かに, はい, はい, えーと, そう, うん, おお, しかり, はあ, えー, へっ, ああ, ああ, ウィ, ええ, ええっと, うむ",,de-DE,ja-JP
damals,"その節, その時, あのころは, あのころ, 先年, そのかみ, 一時, その頃, あの時, 昔は, 当時, 一頃, 昔, その折, 当時と, 兼ねて, あの際に, 先に",,de-DE,ja-JP
somit,"ですから, されば, しかれば, 従って, 結果的に, かくして, …に従って, だから, ですので",,de-DE,ja-JP
Studium,"講究, 勉学, 学習, 修業, スタディー, 研学, 修学, 攻究, 修業, 課程, 研修, 学問, 探究, 研究, 学(び), 勉強, 学業, 業, 学, 講学",,de-DE,ja-JP
gegeben,"既知の, 与えられた, 所与の",,de-DE,ja-JP
tätig,"活動的, 実行力がある, 噴火中の",,de-DE,ja-JP
Nutzung,用益,,de-DE,ja-JP
veröffentlicht,既刊の,,de-DE,ja-JP
zuletzt,"到頭, 最後に, 果ては, 仕舞いに, 一番後で, ついに, 結句, 結句, ついには, 結局, 結局, 詮ずる所, 結局のところ",,de-DE,ja-JP
Situation,"態様, 様子, 境地, シチュエーション, 風向(き), 色合(い), 場面, 勝手, 勝手, 境, 状態, 業, 況, 動静, フェイズ, 情勢, 容体, 体たらく, 有(り)様, 〈如何〉, 〈如何〉, フェーズ, 形勢, 場合, ばつ, 位置, 向背, 様, 境, 様態, 局, 事局, 雲行(き), 有(り)様, 模様, 左右, 声色, 向(き), 事, 手形, 風向(き), 状況, 時局, 旗色, 局面, 事態, 景気, 風並(み), シチュ",,de-DE,ja-JP
beide,"いずれも, 二者, 双, 二つながら, 両々, 両人, 両名, 両者, 共に, 共に, もろ, 両方の, 双方の, 二つとも…である, 二つ共, 二人とも, 両…, 両方, 共, 〈何方〉も, いずれの",,de-DE,ja-JP
Person,"方, ペルソナ, ペルソナ, 仁, 顔, 身, 人物, 位格, 人間, マン, 玉, 人, 人称, 者, 人っ子, 人, ぼっち, ぼっち, パーソン, パースン",,de-DE,ja-JP
Spieler,"遊び人, ゲーマー, 演奏者, ハスラー, 弾(き)手, ばくち打ち, ギャンブラー, プレイヤー, 渡世人, プレーヤー, やくざ者, 博徒, 競技者, 勝負師, 代表選手, 選手, 賭博師, 長脇差",,de-DE,ja-JP
18,十八,,de-DE,ja-JP
Betrieb,"使用, 企業, オペレイティング, 稼働, 製作所, 動作, オペレーティング, 事業, 営み, 運航, 盛況, 運転, 営業, 経営, 運行, 製作所, ファーム",,de-DE,ja-JP
Politik,"政略, 政, 政策, ポリシー, 施策, 政道, 策, 方策, 方針, 方略, 政治, ポリティックス",,de-DE,ja-JP
klar,"鮮明な, 清朗な, 晴朗な, くっきり, ありありと, すっきりと, からりと, 明白に, 鮮(や)かな, 明確に, さわやかな, さえた, 〈明白〉, そそ, あからさまな, 現然と, 鏗鏗たる, 明らかに, 較, 白い, しゃきしゃき, れっきとした, 明瞭な, 楚々たる, あらわ, 顕然たる, 明瞭に, こつこつ, 発止, 無色透明な, 奇麗な, はっきりと, 透き通った, 明朗, きっぱり, 涼しい, 明快, 端正な, 確(か), 現然たる, クリアーな, 透徹した, 明らか, まとまった, 分明な, 清い, 楚々とした, つまびらかな, 鮮明に, 頭のさえた, 朗らか, 明らかな, 瞭然, きっぱりと, 発止と, はっきり, つまびらか, 色濃い, 顕著な, こうこうたる, 瞭然とした, はきはきと, 達意の, 分(か)り切った, あらわな, すっきり, うららか, 明朗な, 澄んだ, すっきりした, 判然, はっきりとした, うららかな, さくさく, 明解な, すかっと, 端的, 麗ら, こうこう, 透明な, 明せきな, 素通しの, 明澄な, あらわに, 現然, 清朗, 明々白々な, 朗らかな, 晴れ晴れした, 爽((や)か), 有り有り, 思い切り, 思い切り, はきはき, 清らかな, 見やすいように, 平明な, 清く, あいまいでない, 赤, 赤, からり, 明白な, ハード･エッジド, 発音の明確な, 歴然たる, あからさまの, 曇りのない, からっと, 明快な, 端的に, 透明の, きっぱりした, 爽々, さやか",,de-DE,ja-JP
Mannschaft,"チーム, 人員, 選手団, 団体, 乗組員, 兵員, クルー, 船員, 組(み), ティーム, 搭乗員, 一隊",,de-DE,ja-JP
Bevölkerung,"住民, 民草, 人頭, 青人草, 個体群, 人別, 生歯, 戸口, 民草, 人頭, 人口, ポピュレーション",,de-DE,ja-JP
wirklich,"有(り)体の, 返す返す, いよいよ, アクチュアル, 生ける, 誠の, 物の, 現実的, さも, 本当に, まさに, 実にも, 実に, 真個の, 正しく, 何様, 返す返すも, ても, 実に実に, 現実に, 真実の, 何とも, 本腰で, 事実上の, またく, 真正な, 随分, 真性の, ほとんど, ほとんど, 実際に, 現実の, 本当の, 如実に, 本に, つくづく, 実は, 一体, 実にや, それこそ, 実際, 実際, 真の, 額面通りに, 全く, 果(た)して, 真正の, 実際の, …だよ, 真実, 真実, 〈如何〉にも, 事実, 事実, まったくの, 誠に, 事実の, 実に, がちで, 全くもって, 中々どうして, がち, がち",,de-DE,ja-JP
eigentlich,"元来, 大体, 大体, その実, 最初は, 本来, 本来, そもそも, 由来, 由来, 本当の, 元々, 本当は, 実は, 本来の, 一体, もとより, 中々どうして",,de-DE,ja-JP
knapp,"手薄な, 小…, えんやらやっと, 手薄い, 手薄の, きちきち, 線上, きつい, 近い, かすかす, …弱, 希少な, 簡略な, 辛くも, 短い, 擦れ擦れ, かつかつ, せせこましい, もう少しで, ぼそり, 窮屈な, ぎりぎりの, わっさり, ほとんど, ほとんど, 辛々, 僅(か), 辛く, 貧弱な, ぼそっと, 危なく, 危(な)い, 危うく, かすかすに, ぼそっ, 短く, コンサイス, まれ, そこそこ, そこそこ, 辛うじて, 得にくい, 数少ない, 残り少ない, 手短い, 危なし",,de-DE,ja-JP
Bild,"ビルト･ツァイトゥング, 図, 様相, 絵, 面影, 額, 風景, 画像, 丹青, ピクチャー, 像, 肖像画, 一こま, 概念, 図画, 肖像, 絵画, 画面, 写象, 表象, 照影, 彩画, イメージ, 画, 図画, 絵札, 影像, 形象, 図絵, 描像, 画図, 描画像, ペインティング",,de-DE,ja-JP
Förderung,"肝煎(り), 育成, 主唱, 作興, 発揚, 尻押し, テコ入れ, 増進, 採掘, 勧奨, 保護, 主催, 推進, 産出, 振興, 向上, かん養, 奨励, 賛助, 引(き), 促進, 登用, 助長, 振作, 採取, 稼行",,de-DE,ja-JP
14,"十四, 十四",,de-DE,ja-JP
hoch,"声高々と, ぎ然たる, ぎぎ, 高等な, 高い, 高い, 高度な, 高遠な, きつぜん, ぎぜん, 高層の, 調子の高い, 高やか, 屹然として, 高らか, 高く, 高々, 高まいな, 高等の, 高声の, ハイ, ぎょう, 高々と, 高, トール",,de-DE,ja-JP
außerdem,"ほかに, 以外, あまつさえ, 且(つ), その外, 又, しかも, なおかつ, あまっさえ, 殊に, その癖, なおまた, のみならず, 後は, かててくわえて, 上, その上, 且つ又, し, 更, その他, 更に, それに, 他にも, 加えて, 付(け)加えると, それに加えて, 加えるに",,de-DE,ja-JP
teilweise,"部分的に, 不全, 幾分か, 一半の, 半(ば), 一部の, 幾分の, 部分的, パーシャル",,de-DE,ja-JP
Männer,"殿方, 男衆, 男衆, 男性の方, 男性陣",,de-DE,ja-JP
regelmäßig,"欠かさず, 定…, 通常の, 定例の, 正式の, むらのない, むらのない, 定まった, 規則的な, 定期に, 定時の, 決(ま)って, きちんと, むらなく, 規定の, 決まりの, 定期的な, 定期の, 規則的, 定期的に, 通例の, 一定の, アイソタクチック, 正式な, コンスタント, 定期的",,de-DE,ja-JP
FC,サッカー・クラブ,,de-DE,ja-JP
Montag,"月曜, 月, 週明(け), 月曜日",,de-DE,ja-JP
leben,"息が通う, 住(ま)う, 生存する, 煙を立てる, 生活する, 生息する, 起臥する, 実在する, いく, 寝起きする, 住する, やってくる, 存命している, 住む, 住む, 生きる, 居る, 暮(ら)す, 生きている, 渡世を送る",,de-DE,ja-JP
Entscheidung,"ジャッジメント, 一決, 確定, 縄規, 決裁, 処決, 解決, 判決, 分(け)目, 締めくくり, 判断, 審判, 決着, 定(め), 決(め), 断, ジャッジ, 量定, 裁断, 断定, 決心, 議決, 処断, 落着, 思いっ切り, 左右, デシジョン, 裁定, 決断, 断案, 決(ま)り, 左右, 裁き, 決定, 締(ま)り, 決, 思い切り, 思い切り, 決意, 表決, 断決, 判定, 評定, 決定事項, ディシジョン",,de-DE,ja-JP
Möglichkeiten,"都合, 都合",,de-DE,ja-JP
Einwohner,"住民, 居住者, 地域住民, 住人",,de-DE,ja-JP
Wahl,"選択, 投票, 選出, 選み, 選挙, より取り, 入(れ)札, 取捨, 選び, 選, 当選, チョイス, せん定",,de-DE,ja-JP
spielen,"狂う, 爪弾く, ふざける, おどける, 囲む, 演戯する, ゲームする, ひねくり回す, 出演する, いじる, 戯れる, 投機をやる, 吹く, 演奏する, ざれる, たわぶれる, 芝居をする, 遊んでいる, 博奕を打つ, ばくちを打つ, 遊戯をする, 遊戯中である, じゃらす, プレーする, 一六勝負をやる, やる, やる, 演技する, 遊ぶ, 奏楽する, 戦う, 弄する, 弾じる, 演じる, じゃれる, 遊(び)戯れる, たわける, 演ずる, 音楽する, プレイする",,de-DE,ja-JP
aktuell,"アクチュアル, 現, 時事的な, 現在, 今風な, 話題性のある, 現働的, 時事的",,de-DE,ja-JP
2010,二千十,,de-DE,ja-JP
ebenso,"同じようにして, 同様に, も, 同然, 同様, 同じ位, 右に同じ",,de-DE,ja-JP
40,あんどん,,de-DE,ja-JP
setzen,"文選する, 賭ける, 置く, 置く, 棒組みにする, 上げる, 上げる, 落(と)す, 措定する, 植える, 載せる, シードする, 座らせる, 組み版する, 据える, 版組みする",,de-DE,ja-JP
unser,"我(が), 私達の, うち, 手前共の, 当方の, 我々の, 僕らの, 我らの, 内の, 自分たちの",,de-DE,ja-JP
Laut,"音, 音, 音, 舌音, 声",,de-DE,ja-JP
GmbH,"有限責任会社, GmbH, 有限会社, リミテッド･カンパニー, リミテッド･ライアビリティー･カンパニー, LLC",,de-DE,ja-JP
Arbeiten,ワーキング,,de-DE,ja-JP
daran,そのせいで,,de-DE,ja-JP
Bau,"建築物, でか場, 巣穴, 工作, 土木, 造営物, 作(り), 土木建築, 構築物, 結構, 結構, 鬼窟, 普請, 建造物, 建設, 架設, 構造物, 建造, 作事, 営造物, 建築, ファブリック, 構造, 築造, 建物, 巣, パオズ, 骨格, 構築, 本普請, 構(え), 穴, 工事, 土木建設",,de-DE,ja-JP
letzte,直近の,,de-DE,ja-JP
danach,"この後, その後で, 後, あれから, 次いで, あの後, この後, その先, 後, 後で, それ以後, 後に, その後, その後, これから, それから, しかるのち, このあとで",,de-DE,ja-JP
Tochter,"息女, 子女, 子, 令嬢, 娘子, あっぱ, あっぱ, 子会社, 嬢, 御令嬢, 娘, ドーター",,de-DE,ja-JP
6,"六, 六, 六, 六(つ), シックス",,de-DE,ja-JP
Mittwoch,"水, 水曜, 水曜日",,de-DE,ja-JP
Probleme,ごたごた,,de-DE,ja-JP
jede,"各個, いずれ, あらゆる",,de-DE,ja-JP
16,十六,,de-DE,ja-JP
Zeitpunkt,"ターム, 世, 時点, 時刻, 期限, 折(り), 期, 事, しん刻",,de-DE,ja-JP
wissen,"存ずる, 存じます, 拝承する, 味を知る, 分(か)る, 心得る, 存じ上げる, 承知する, 存じる, 聞(き)及ぶ, 覚える, 聞知する, 知っている, 聞き知る, 知る, 領ろしめす",,de-DE,ja-JP
erfolgreich,"無難な, 無難の, 盛んな, 盛んに, 繁盛した, まんまんと, 上首尾の, 実効ある, 成功裏に, 効果的, うまく, 効果的な, 首尾よく, めでたく, 好結果の, 成功した, 盛ん, うまうまと, 見事に, まんまと, 実り多い, 効果のある, してやったり",,de-DE,ja-JP
Weise,"通り, 容体, 調(べ), 旋律, 仕方, …風, メロディー, 流, 節, チャント, マニエール, マニエラ",,de-DE,ja-JP
Ob,"オビ川, オビ",,de-DE,ja-JP
jedem,各自に,,de-DE,ja-JP
